idx,CHILD_SEX,IDD_SCORE,AGE,HHID_count,HH_AGE,FOOD_EXPENSE_WEEKLY,NON-FOOD_EXPENSE_WEEKLY,HDD_SCORE,FOOD_INSECURITY,BEN_4PS,AREA_TYPE,FOOD_EXPENSE_WEEKLY_pc,NON-FOOD_EXPENSE_WEEKLY_pc
VZ679,Male,8.0,15.0,8,22.125,2083.4843409333334,2476.7,11.0,Mild,No,URBAN,260.4355426166667,309.5875
VZ683,Female,9.0,7.0,2,20.5,1704.3407663333335,197.5,8.0,Severe,No,URBAN,852.1703831666667,98.75
VZ689,Male,7.0,12.0,8,21.0,3100.005732666667,745.54521,10.0,None,No,URBAN,387.50071658333337,93.19315125
VZ697,Male,9.0,2.0,6,27.166666666666668,1085.7618213333335,2110.987,10.0,None,Yes,URBAN,180.96030355555558,351.83116666666666
VZ702,Male,8.0,13.0,6,28.666666666666668,1836.8297660833337,1553.04521,12.0,None,Yes,URBAN,306.13829434722226,258.84086833333333
VZ710,Male,7.0,8.0,8,26.125,2362.4361668333336,885.5,9.0,Severe,No,URBAN,295.3045208541667,110.6875
VZ716,Male,11.0,9.0,5,29.4,1844.9605580416664,3345.0,12.0,None,Yes,URBAN,368.9921116083333,669.0
VZ720,Male,10.0,14.0,5,21.6,2499.207399826667,1370.0,12.0,None,Yes,URBAN,499.8414799653334,274.0
VZ724,Female,7.0,9.0,6,18.5,1542.2385461333333,4352.5,8.0,Moderate,No,URBAN,257.03975768888887,725.4166666666666
VZ732,Male,12.0,12.0,8,26.875,1111.9797999999998,1931.675,12.0,Severe,No,URBAN,138.99747499999998,241.459375
VZ739,Male,7.0,12.0,4,19.25,2202.7664162666665,2550.0,11.0,Severe,No,URBAN,550.6916040666666,637.5
VZ743,Male,10.0,7.0,5,18.8,1284.9732665,2117.5,10.0,None,No,URBAN,256.9946533,423.5
VZ747,Female,7.0,8.0,6,26.666666666666668,2794.0766513333333,14315.0,11.0,None,No,URBAN,465.6794418888889,2385.8333333333335
VZ755,Female,9.0,12.0,6,35.333333333333336,0.0,0.0,9.0,,No,URBAN,0.0,0.0
VZ759,Female,7.0,8.0,4,23.25,1920.2659326666667,3971.25,12.0,None,No,URBAN,480.06648316666667,992.8125
VZ764,Male,8.0,10.0,4,24.25,1928.9784709333333,1059.5,12.0,Moderate,Yes,URBAN,482.2446177333333,264.875
VZ768,Male,7.0,12.0,6,17.0,1564.8098593333334,195.0,11.0,Severe,Yes,URBAN,260.80164322222225,32.5
VZ773,Female,9.0,9.0,3,21.666666666666668,1075.7925331666668,2645.0,11.0,Severe,No,URBAN,358.5975110555556,881.6666666666666
VZ776,Female,10.0,12.0,4,24.75,1881.81575,1032.5,10.0,None,Yes,URBAN,470.4539375,258.125
VZ781,Male,11.0,8.0,4,27.25,1970.1817993333332,791.961,7.0,None,No,URBAN,492.5454498333333,197.99025
VZ786,Male,7.0,9.0,5,23.0,1057.3305993066665,2517.5,12.0,None,No,URBAN,211.4661198613333,503.5
VZ789,Male,8.0,11.0,4,20.5,902.754332666667,828.987,8.0,None,Yes,URBAN,225.68858316666675,207.24675
VZ796,Female,10.0,8.0,6,13.25,3717.6843171666674,2883.724,8.0,Severe,No,URBAN,619.6140528611112,480.6206666666667
VZ799,Male,8.0,12.0,5,21.8,2137.2100689999997,3226.6356299999998,12.0,None,No,URBAN,427.4420137999999,645.3271259999999
VZ803,Male,8.0,9.0,2,10.0,1739.239554,2844.75,11.0,Moderate,Yes,URBAN,869.619777,1422.375
VZ806,Female,10.0,11.0,5,20.0,1473.6415417083335,989.175,11.0,Moderate,Yes,URBAN,294.7283083416667,197.83499999999998
VZ811,Male,12.0,14.0,4,31.75,2060.852271333333,500.75,11.0,Severe,Yes,URBAN,515.2130678333333,125.1875
VZ815,Male,6.0,13.0,5,19.2,1259.2988794666667,2287.5,12.0,None,No,URBAN,251.85977589333334,457.5
VZ820,Male,8.0,11.0,3,22.0,1171.3432273333333,3125.7110000000002,11.0,Severe,Yes,URBAN,390.44774244444443,1041.9036666666668
VZ823,Female,7.0,9.0,3,19.0,2316.6043025333333,1906.961,12.0,Severe,Yes,URBAN,772.2014341777777,635.6536666666667
VZ828,Male,7.0,16.0,7,27.857142857142858,2186.9447333333337,569.10375,12.0,Severe,Yes,URBAN,312.42067619047623,81.30053571428572
VZ834,Female,7.0,8.0,4,23.75,2079.924417333333,2685.5,7.0,Moderate,No,URBAN,519.9811043333333,671.375
VZ837,Male,8.0,11.0,6,25.0,14017.707133083335,1171.40884,11.0,Mild,No,URBAN,2336.284522180556,195.23480666666669
VZ843,Female,8.0,14.0,4,37.25,685.49571992,2800.0,7.0,Severe,Yes,URBAN,171.37392998,700.0
VZ848,Female,11.0,9.0,4,31.0,2245.1225661,197.5,11.0,None,Yes,URBAN,561.280641525,49.375
VZ856,Female,,11.0,9,20.333333333333332,3146.6925653333333,1487.5,10.0,Severe,Yes,URBAN,349.6325072592592,165.27777777777777
VZ862,Male,8.0,13.0,5,32.4,1944.4399088166667,771.487,10.0,Severe,Yes,URBAN,388.88798176333336,154.29739999999998
VZ867,Female,8.0,9.0,6,20.333333333333332,1278.9915526666668,19802.75,9.0,Severe,No,URBAN,213.1652587777778,3300.4583333333335
VZ871,Female,10.0,10.0,4,21.25,1083.860991,1894.5,11.0,Severe,No,URBAN,270.96524775,473.625
VZ875,Male,9.0,10.0,4,20.5,1544.6436998333334,1835.0,12.0,None,No,URBAN,386.16092495833334,458.75
VZ879,Male,9.0,14.0,3,44.666666666666664,2346.3657866666667,1469.5322099999998,8.0,Severe,Yes,URBAN,782.1219288888889,489.84406999999993
VZ882,Female,7.0,11.0,3,25.333333333333332,623.2125709333334,693.75,7.0,Severe,No,URBAN,207.73752364444445,231.25
VZ884,Female,7.0,8.0,3,13.666666666666666,2287.255933066667,3810.6763,12.0,None,No,URBAN,762.4186443555556,1270.2254333333333
VZ890,Female,5.0,9.0,6,26.0,1951.5759546666666,2807.435,9.0,None,No,URBAN,325.2626591111111,467.9058333333333
VZ894,Male,9.0,9.0,4,30.5,1971.9929375,7425.956,12.0,None,No,URBAN,492.998234375,1856.489
VZ899,Female,6.0,8.0,5,24.2,1818.3933365833334,1770.54521,12.0,Mild,No,URBAN,363.6786673166667,354.109042
VZ905,Female,9.0,10.0,5,21.2,1494.6311316466665,2952.25,8.0,Moderate,Yes,URBAN,298.9262263293333,590.45
VZ908,Female,4.0,15.0,5,25.2,1321.615233166667,845.0,10.0,Severe,Yes,URBAN,264.3230466333334,169.0
VZ915,Female,5.0,9.0,10,26.7,4317.137306666668,8880.0,10.0,Mild,No,URBAN,431.71373066666683,888.0
VZ923,Female,8.0,12.0,3,27.333333333333332,851.5064504000001,1837.5,10.0,None,No,URBAN,283.8354834666667,612.5
VZ927,Female,6.0,8.0,5,18.6,2535.3286493333335,1725.0,11.0,None,No,URBAN,507.0657298666667,345.0
VZ932,Female,10.0,8.0,5,18.0,1756.5002966666666,1401.25,12.0,Mild,Yes,URBAN,351.3000593333333,280.25
VZ934,Female,8.0,10.0,1,10.0,0.0,0.0,0.0,,,URBAN,0.0,0.0
VZ940,Female,11.0,12.0,9,18.0,4096.6849014,11220.0,9.0,None,No,URBAN,455.1872112666667,1246.6666666666667
VZ950,Male,9.0,11.0,9,20.88888888888889,1418.194848,1560.0,6.0,Moderate,No,URBAN,157.57720533333335,173.33333333333334
VZ957,Male,7.0,8.0,6,26.166666666666668,1956.0997656666666,4258.5,11.0,Moderate,No,URBAN,326.0166276111111,709.75
VZ963,Female,8.0,8.0,6,22.166666666666668,1272.3034294666668,1882.5,10.0,None,No,URBAN,212.0505715777778,313.75
VZ968,Female,6.0,10.0,6,17.166666666666668,1206.2257884666667,559.75,11.0,Severe,Yes,URBAN,201.0376314111111,93.29166666666667
VZ973,Female,5.0,8.0,3,23.333333333333332,1342.9555333333333,2085.8450000000003,12.0,None,No,URBAN,447.6518444444444,695.2816666666668
VZ978,Female,10.0,10.0,6,30.5,2388.1277721666665,1630.29521,8.0,None,No,URBAN,398.0212953611111,271.71586833333333
VZ984,Male,7.0,11.0,6,34.833333333333336,1732.7465459999999,11462.5,8.0,None,No,URBAN,288.791091,1910.4166666666667
VZ989,Female,7.0,11.0,6,17.833333333333332,1955.5874987500003,1067.0,10.0,Mild,No,URBAN,325.93124979166674,177.83333333333334
VZ997,Female,8.0,8.0,6,24.833333333333332,1586.0627667500007,10289.5,11.0,None,Yes,URBAN,264.34379445833343,1714.9166666666667
VZ1000,Male,9.0,10.0,4,31.75,1042.6928,725.0,11.0,None,Yes,URBAN,260.6732,181.25
VZ1003,Female,7.0,11.0,3,32.0,1266.0091583333335,843.0,6.0,Severe,No,URBAN,422.00305277777784,281.0
VZ1007,Male,8.0,8.0,3,23.333333333333332,1541.8033027333336,1286.961,11.0,None,No,URBAN,513.9344342444446,428.987
VZ1012,Female,9.0,9.0,6,18.666666666666668,2685.561779466667,9527.773509999999,12.0,None,Yes,URBAN,447.5936299111111,1587.9622516666666
VZ1015,Male,7.0,11.0,5,12.4,1501.9053326666667,1492.5,10.0,Severe,No,URBAN,300.38106653333335,298.5
VZ1021,Male,7.0,13.0,4,29.25,2129.445223066667,2346.25,10.0,Severe,No,URBAN,532.3613057666668,586.5625
VZ1024,Female,8.0,10.0,4,13.25,4020.992899986667,4775.0,11.0,Severe,No,URBAN,1005.2482249966667,1193.75
VZ1031,Female,6.0,9.0,5,22.6,1300.5536460533333,2516.675,11.0,Moderate,Yes,URBAN,260.11072921066665,503.33500000000004
VZ1037,Female,8.0,12.0,7,20.285714285714285,1681.7583243333333,1128.987,6.0,Mild,No,URBAN,240.2511891904762,161.28385714285716
VZ1041,Female,9.0,11.0,4,20.75,1212.0265996666665,1322.5,9.0,Severe,No,URBAN,303.0066499166666,330.625
VZ1043,Female,7.0,11.0,5,27.4,965.4596085333333,5247.0,12.0,None,No,URBAN,193.09192170666665,1049.4
VZ1049,Female,7.0,9.0,4,12.0,928.1153897333334,1388.04521,10.0,Severe,Yes,URBAN,232.02884743333334,347.0113025
VZ1053,Male,10.0,8.0,2,23.5,3536.686154666667,4285.474,12.0,None,No,URBAN,1768.3430773333334,2142.737
VZ1057,Female,8.0,11.0,6,18.5,3715.6773879200005,3700.0,11.0,None,No,URBAN,619.2795646533334,616.6666666666666
VZ1061,Male,7.0,15.0,2,29.5,2180.020332666666,208.75,10.0,Mild,Yes,URBAN,1090.010166333333,104.375
VZ1064,Female,9.0,10.0,4,24.25,1693.165594,4297.75,9.0,Moderate,Yes,URBAN,423.2913985,1074.4375
VZ1068,Female,8.0,11.0,4,21.75,1495.1603367666667,1046.843333,11.0,Mild,Yes,URBAN,373.79008419166666,261.71083325
VZ1074,Female,8.0,8.0,6,30.333333333333332,1375.8088827500003,2080.0,12.0,Moderate,No,URBAN,229.30148045833337,346.6666666666667
VZ1080,Female,6.0,11.0,5,27.4,1227.6805940000004,1061.31647,5.0,None,No,URBAN,245.53611880000008,212.263294
VZ1084,Female,9.0,12.0,6,18.333333333333332,1764.0576415333335,1132.5,11.0,None,Yes,URBAN,294.00960692222225,188.75
VZ1091,Male,10.0,8.0,6,18.166666666666668,2586.042999066666,1750.0,11.0,Moderate,Yes,URBAN,431.00716651111105,291.6666666666667
VZ1096,Male,11.0,10.0,4,23.5,2084.9948364666666,1610.425,11.0,None,Yes,URBAN,521.2487091166666,402.60625
