idx,CHILD_SEX,IDD_SCORE,AGE,HHID_count,HH_AGE,FOOD_EXPENSE_WEEKLY,NON-FOOD_EXPENSE_WEEKLY,HDD_SCORE,FOOD_INSECURITY,YoungBoys,YoungGirls,AverageMonthlyIncome,BEN_4PS,AREA_TYPE,FOOD_EXPENSE_WEEKLY_pc,NON-FOOD_EXPENSE_WEEKLY_pc,AverageMonthlyIncome_pc
CV1828,1,8,9,10,21.1,1942,2498.5,9,3,1,0,1,1,0,194.2,249.85,0.1
CV763,0,5,6,4,16.605,1742,110.375,7,4,0,1,1,2,0,435.5,27.59375,0.25
CV1112,1,4,6,5,15,1430,513.75,9,3,0,1,1,2,0,286,102.75,0.2
CV962,0,4,6,5,14.4,1620,3382.5,9,2,0,2,2,2,0,324,676.5,0.4
CV899,1,3,9,3,17.33333333,2774,3762.5,9,4,-999,-999,1,2,0,924.6666667,1254.166667,0.333333333
CV767,0,4,11,6,18.16666667,625,2000,5,4,0,1,1,2,0,104.1666667,333.3333333,0.166666667
CV879,1,5,11,3,37,379,109,7,3,-999,-999,1,2,0,126.3333333,36.33333333,0.333333333
CV1695,0,4,11,10,22,1800,1490,7,3,-999,-999,1,2,0,180,149,0.1
CV766,0,5,12,6,18.33333333,700,75,8,4,0,1,1,2,0,116.6666667,12.5,0.166666667
CV765,0,6,11,4,22.25,606,277.5,9,4,-999,-999,1,2,0,151.5,69.375,0.25
CV1608,0,6,5,6,26.83333333,1005,301.25,9,4,1,0,1,1,0,167.5,50.20833333,0.166666667
CV1431,1,7,12,7,18.85714286,896,724.8325,8,4,0,1,1,1,0,128,103.5475,0.142857143
CV1209,0,7,9,5,19,1129,179.75,9,2,0,1,2,2,0,225.8,35.95,0.4
CV1446,1,6,8,8,18.625,2757,1171.455,9,3,1,1,3,2,0,344.625,146.431875,0.375
CV1417,1,6,10,6,24.83333333,844,164,8,3,-999,-999,1,1,0,140.6666667,27.33333333,0.166666667
CV1286,1,6,9,5,19.6,1569,935,9,4,0,1,3,2,0,313.8,187,0.6
CV1707,0,6,5,7,21.42857143,3975,2188.5,9,3,1,0,4,2,0,567.8571429,312.6428571,0.571428571
CV1387,1,6,11,6,19.83333333,1656,398.5,9,2,0,1,1,2,0,276,66.41666667,0.166666667
CV1230,1,7,5,5,16.4,1590,4775,8,3,1,1,3,1,0,318,955,0.6
CV1123,0,8,9,5,19.2,3126,590.75,9,2,-999,-999,4,1,0,625.2,118.15,0.8
CV981,1,6,8,6,12.83333333,1056,1338.75,9,4,2,0,1,1,0,176,223.125,0.166666667
CV1169,1,4,10,4,26,1806,1897.25,8,1,-999,-999,1,1,0,451.5,474.3125,0.25
CV1751,1,6,7,8,17,2510,445,9,3,1,0,1,2,0,313.75,55.625,0.125
CV1623,0,4,8,10,16.9,2313,2260,9,3,1,1,1,1,0,231.3,226,0.1
CV1620,0,7,9,6,24.83333333,2809,678.4175,9,2,-999,-999,3,2,0,468.1666667,113.0695833,0.5
CV1753,1,5,5,7,21.14285714,632.5,1067.5,9,4,0,1,1,2,0,90.35714286,152.5,0.142857143
CV1420,1,5,5,5,26.6,894,309.25,6,4,0,1,1,2,0,178.8,61.85,0.2
CV847,1,3,7,4,17.5,744,317.5,9,3,0,1,1,1,0,186,79.375,0.25
CV979,1,6,9,5,21.2,1350,425,9,3,1,0,1,1,0,270,85,0.2
CV1171,0,5,8,5,19,834,1104.25,8,4,-999,-999,1,1,0,166.8,220.85,0.2
CV1295,1,7,11,5,26,2603,480.415,9,3,-999,-999,4,1,0,520.6,96.083,0.8
CV1141,0,2,10,7,20.28571429,833,729.5,6,4,0,2,1,2,0,119,104.2142857,0.142857143
CV1613,0,5,10,6,28.33333333,1929,5490,8,3,-999,-999,1,1,0,321.5,915,0.166666667
CV1493,0,6,6,6,19.33333333,2237,231,6,4,1,0,1,1,0,372.8333333,38.5,0.166666667
CV1622,1,5,8,6,26.83333333,2595,582.5,9,4,-999,-999,1,2,0,432.5,97.08333333,0.166666667
CV1194,0,6,7,6,16.16666667,1743,5371.75,9,3,1,1,2,2,0,290.5,895.2916667,0.333333333
CV791,1,4,10,5,17,421,298.25,6,3,-999,-999,1,2,0,84.2,59.65,0.2
CV1273,0,5,10,5,24.6,4960,838.75,9,4,1,0,1,2,0,992,167.75,0.2
CV1834,0,6,12,11,12.36363636,1604,429.75,9,4,1,3,1,2,0,145.8181818,39.06818182,0.090909091
CV792,0,5,14,7,16.57142857,1001,122,9,3,-999,-999,1,2,0,143,17.42857143,0.142857143
CV833,0,3,13,5,18.6,545,302,8,4,-999,-999,1,2,0,109,60.4,0.2
CV1228,1,5,5,4,34.75,2002,2105.75,9,4,0,1,1,2,0,500.5,526.4375,0.25
CV1229,0,7,5,6,28.83333333,2092,3090.75,8,4,2,0,1,1,0,348.6666667,515.125,0.166666667
CV1196,0,7,6,4,22.25,1620,1386,8,4,-999,-999,2,2,0,405,346.5,0.5
CV823,1,7,9,4,19.5,1236,306.83,9,3,-999,-999,2,1,0,309,76.7075,0.5
CV1796,0,6,8,9,30,2014,401.415,9,3,0,1,2,2,0,223.7777778,44.60166667,0.222222222
CV1289,1,7,10,5,21,1040,4345,8,4,-999,-999,1,2,0,208,869,0.2
CV1786,1,5,5,8,32.875,2472,6442,9,2,0,1,4,1,0,309,805.25,0.5
CV989,0,4,11,6,17.16666667,1552,165.9375,9,3,-999,-999,2,2,0,258.6666667,27.65625,0.333333333
CV1085,1,6,5,4,23.5,3388,6817.08,9,3,0,1,5,1,0,847,1704.27,1.25
CV938,0,4,5,4,15.25,1150,615,9,4,1,1,1,1,0,287.5,153.75,0.25
CV829,0,5,7,3,24.33333333,1535,850.83,9,3,-999,-999,1,2,0,511.6666667,283.61,0.333333333
CV1402,0,5,9,5,26.4,5600,5655.75,9,3,-999,-999,9,1,0,1120,1131.15,1.8
CV1481,1,4,5,5,23.4,2939.5,3130,9,3,0,1,2,2,0,587.9,626,0.4
CV934,1,6,12,9,19.88888889,1594,772.5,8,4,-999,-999,1,1,0,177.1111111,85.83333333,0.111111111
CV789,0,5,8,3,22.33333333,3049,2116.5,9,2,-999,-999,3,1,0,1016.333333,705.5,1
CV936,1,4,5,5,23,1179,783,8,2,0,1,2,2,0,235.8,156.6,0.4
CV1730,0,7,5,8,23,1405,425.5,8,4,1,1,1,2,0,175.625,53.1875,0.125
CV1479,1,6,5,5,18.4,1545,875,8,2,0,1,1,1,0,309,175,0.2
CV761,0,5,6,4,21.5,1670,308.5,9,3,0,1,1,1,0,417.5,77.125,0.25
CV944,0,3,6,4,15,2133,839.75,9,1,0,1,1,1,0,533.25,209.9375,0.25
